code,area
MH-01,"Mumbai (South) – RTO is located in Tardeo. BEST, MCGM and Mumbai Police vehicles are also registered here"
MH-02,Mumbai (West) – RTO is located in Andheri
MH-03,Mumbai (East) – RTO is located in Wadala. Branch in Worli
MH-04,"Thane. Branch in Murphy Colony.
Also MSRTC buses are registered here."
MH-05,"Kalyan-Dombivali, Ulhasnagar, Ambernath and Badlapur – RTO is located in Kalyan"
MH-06,"Raigad – RTO is located in Pen (does not include Navi Mumbai, Kharghar, Panvel, Khopoli)
Also MSRTC buses are registered here."
MH-07,"Sindhudurg – RTO is located in Sindhudurg Nagari
Also MSRTC buses are registered here."
MH-08,Ratnagiri
MH-09,Kolhapur
MH-10,Sangli-Miraj-Kupwad
MH-11,"Satara
Also MSRTC buses are registered here."
MH-12,"Pune (city). Branch in Yerwada.
Also MSRTC buses are registered here."
MH-13,Solapur (city)
MH-14,"Pimpri-Chinchwad
Also MSRTC buses are registered here."
MH-15,Nashik (city)
MH-16,Ahmednagar District (South)
MH-17,Ahmednagar District (North)
MH-18,Dhule
MH-19,Jalgaon
MH-20,"Aurangabad – RTO is located on Station Road
Also MSRTC buses are registered here."
MH-21,Jalna (city)
MH-22,Parbhani
MH-23,Beed
MH-24,Latur RTO located in Babhalgaon Road
MH-25,Osmanabad
MH-26,Nanded
MH-27,Amravati
MH-28,Buldhana
MH-29,Yavatmal – RTO is located on Nagpur Road
MH-30,Akola – RTO is located on Dabki Road - 444002
MH-31,"Nagpur West - RTO is Located at Amravati Road
Also MSRTC buses are registered here."
MH-32,Wardha
MH-33,Gadchiroli
MH-34,Chandrapur
MH-35,Gondia
MH-36,Bhandara
MH-37,Washim
MH-38,Hingoli
MH-39,Nandurbar
MH-40,"Nagpur (Rural)
Also MSRTC buses are registered here."
MH-41,"Malegaon, Nashik District"
MH-42,"Baramati, Pune"
MH-43,Navi Mumbai – RTO at Vashi
MH-44,Ambejogai RTO located on Latur Road
MH-45,Akluj
MH-46,Panvel also MSRTC buses are registered here
MH-47,Mumbai North
MH-48,Virar
MH-49Z 5111,Nagpur East – RTO is located on Bhandara Road
MH-50,Karad (Satara Rural) – RTO is located in Karad
MH-51,Nashik Rural
MH-52,Kanwati – RTO is located in Nanded Districts
MH-53,Nanded South
MH-54,Pune South
MH-55,Pune North
MH-56,Latur central
MH-57,Latur East
MH-58,Latur West
MH-59,Aurangbad Rural
MH-60,Sangli Rural
MH-61,Nashik South
MH-62,Nanded Rural
MH-63,Nanded West
MH-64,Nanded Central
