Code,State
AN,Andaman and Nicobar Islands
AP,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
BR,Bihar
CG,Chhattisgarh
CH,Chandigarh
DD,Daman and Diu
DL,Delhi
DN,Dadra and Nagar Haveli
GA,Goa
GJ,Gujarat
HR,Haryana
HP,Himachal Pradesh
JH,Jharkhand
JK,Jammu and Kashmir
KA,Karnataka
KL,Kerala
LD,Lakshadweep
MH,Maharashtra
ML,Meghalaya
MN,Manipur
MP,Madhya Pradesh
MZ,Mizoram
NL,Nagaland
OD,Odisha
PB,Punjab
PY,Puducherry
RJ,Rajasthan
SK,Sikkim
TN,Tamil Nadu
TR,Tripura
TS,Telangana
UK,Uttarakhand
UP,Uttar Pradesh
WB,West Bengal
